nearmiss_id,date,site,area,type,potential_severity,root_cause,linked_sop,observation
NM-0001,2025-11-09,Rampura Agucha Mine,Cast House,LOTO Bypass / Hazardous Energy,Serious,Stored energy not released,SOP-LOTO-001,Try-out step skipped; equipment energised while guard was open.
NM-0002,2026-04-22,Chanderiya Zinc,Hydrometallurgy,Crane / Lifting Failure,First Aid,SWL exceeded,SOP-CRN-005,Rigger stood under a suspended load while guiding it by hand.
NM-0003,2026-05-10,Rampura Agucha Mine,Hydrometallurgy,LOTO Bypass / Hazardous Energy,High Potential,Isolation not verified,SOP-LOTO-001,Try-out step skipped; equipment energised while guard was open.
NM-0004,2026-05-18,Chanderiya Zinc,Crusher Plant,Fall from Height,Serious,Harness not anchored,SOP-WAH-003,Worker un-clipped lanyard to reposition and lost balance near an open edge.
NM-0005,2025-07-16,BALCO Korba,Maintenance Workshop,LOTO Bypass / Hazardous Energy,First Aid,Isolation not verified,SOP-LOTO-001,Try-out step skipped; equipment energised while guard was open.
NM-0006,2026-01-11,Chanderiya Zinc,Hydrometallurgy,Confined Space Exposure,Serious,No standby attendant,SOP-CSE-002,Entry made on an expired permit without re-testing atmosphere.
NM-0007,2026-01-25,Debari Zinc,Cast House,Confined Space Exposure,High Potential,No standby attendant,SOP-CSE-002,Entry made on an expired permit without re-testing atmosphere.
NM-0008,2025-07-13,Debari Zinc,Hydrometallurgy,Crane / Lifting Failure,Minor,Defective sling,SOP-CRN-005,Frayed sling parted mid-lift; load dropped within barricaded zone.
NM-0009,2025-08-16,Debari Zinc,Hydrometallurgy,Electrical Shock / Arc Flash,Serious,Earthing not applied,SOP-ELE-006,Capacitive energy not discharged; technician received a shock.
NM-0010,2026-01-16,BALCO Korba,Power Plant,LOTO Bypass / Hazardous Energy,High Potential,Lock not applied,SOP-LOTO-001,Technician began belt maintenance before confirming isolation; conveyor jogged unexpectedly.
NM-0011,2026-05-21,Debari Zinc,Pot Room,Molten Metal Burn,Near Miss,Inadequate PPE,SOP-HMM-004,Damp skimmer caused molten metal spatter during tapping.
NM-0012,2026-04-12,Lanjigarh Refinery,Cast House,Confined Space Exposure,High Potential,No standby attendant,SOP-CSE-002,Entrant felt dizzy; gas monitor showed low O2 after ventilation tripped.
NM-0013,2025-10-24,BALCO Korba,Alumina Refinery,Molten Metal Burn,High Potential,Exclusion zone breached,SOP-HMM-004,Damp skimmer caused molten metal spatter during tapping.
