incident_id,date,site,area,type,severity,equipment,root_cause,linked_sop,narrative
INC-0035,2026-06-22,BALCO Korba,Crusher Plant,Vehicle / Mobile Equipment,Near Miss,Ladder,No pedestrian segregation,SOP-MOB-007,Forklift reversed without a spotter in a congested store.
INC-0027,2025-04-08,Lanjigarh Refinery,Cast House,Molten Metal Burn,First Aid,Pump,Moisture on tool,SOP-HMM-004,Operator entered casting bay without face shield during a pour.
INC-0052,2025-02-17,Debari Zinc,Material Handling,Crane / Lifting Failure,Near Miss,Pump,Defective sling,SOP-CRN-005,Rigger stood under a suspended load while guiding it by hand.
INC-0034,2025-05-05,Rampura Agucha Mine,Power Plant,Vehicle / Mobile Equipment,Minor,Conveyor,Speeding,SOP-MOB-007,Pedestrian crossed a haul road outside the walkway near a reversing dumper.
INC-0091,2026-04-28,Chanderiya Zinc,Maintenance Workshop,Crane / Lifting Failure,First Aid,Conveyor,Defective sling,SOP-CRN-005,Rigger stood under a suspended load while guiding it by hand.
INC-0113,2025-12-17,Rampura Agucha Mine,Crusher Plant,Vehicle / Mobile Equipment,Serious,Panel,Speeding,SOP-MOB-007,Forklift reversed without a spotter in a congested store.
INC-0078,2026-03-17,Debari Zinc,Hydrometallurgy,Electrical Shock / Arc Flash,Near Miss,Ladder,Live work without permit,SOP-ELE-006,Capacitive energy not discharged; technician received a shock.
INC-0028,2025-08-09,Chanderiya Zinc,Cast House,Molten Metal Burn,High Potential,Crane,Moisture on tool,SOP-HMM-004,Operator entered casting bay without face shield during a pour.
INC-0040,2025-10-18,Rampura Agucha Mine,Power Plant,Crane / Lifting Failure,Minor,Pump,Personnel under load,SOP-CRN-005,Rigger stood under a suspended load while guiding it by hand.
INC-0076,2025-11-18,Rampura Agucha Mine,Material Handling,LOTO Bypass / Hazardous Energy,First Aid,Pump,Isolation not verified,SOP-LOTO-001,Try-out step skipped; equipment energised while guard was open.
INC-0016,2025-08-26,Rampura Agucha Mine,Maintenance Workshop,Fall from Height,First Aid,Conveyor,Harness not anchored,SOP-WAH-003,Scaffold platform plank shifted; worker was not tied off.
INC-0041,2025-09-17,Jharsuguda Smelter,Cast House,Slip / Trip / Fall (same level),Minor,Panel,Housekeeping,,Worker slipped on an unmarked oil patch near a pump.
INC-0111,2025-10-28,Rampura Agucha Mine,Crusher Plant,Slip / Trip / Fall (same level),First Aid,Dumper,Oil spill,,Worker slipped on an unmarked oil patch near a pump.
INC-0025,2026-03-11,Lanjigarh Refinery,Cast House,Molten Metal Burn,Minor,Crane,Moisture on tool,SOP-HMM-004,Damp skimmer caused molten metal spatter during tapping.
INC-0099,2025-03-05,Lanjigarh Refinery,Crusher Plant,Fall from Height,Minor,Panel,No edge protection,SOP-WAH-003,Worker un-clipped lanyard to reposition and lost balance near an open edge.
INC-0107,2026-03-02,Jharsuguda Smelter,Power Plant,Slip / Trip / Fall (same level),Minor,Dumper,Poor lighting,,Trip over cabling left across a walkway.
INC-0110,2025-04-08,Lanjigarh Refinery,Cast House,Vehicle / Mobile Equipment,First Aid,Crane,Speeding,SOP-MOB-007,Pedestrian crossed a haul road outside the walkway near a reversing dumper.
INC-0071,2026-04-13,BALCO Korba,Hydrometallurgy,Molten Metal Burn,Serious,Forklift,Inadequate PPE,SOP-HMM-004,Operator entered casting bay without face shield during a pour.
INC-0112,2025-05-31,Chanderiya Zinc,Power Plant,Slip / Trip / Fall (same level),High Potential,Furnace,Housekeeping,,Trip over cabling left across a walkway.
INC-0012,2025-10-01,Rampura Agucha Mine,Pot Room,LOTO Bypass / Hazardous Energy,High Potential,Pump,Isolation not verified,SOP-LOTO-001,Technician began belt maintenance before confirming isolation; conveyor jogged unexpectedly.
INC-0103,2025-10-14,Lanjigarh Refinery,Material Handling,Slip / Trip / Fall (same level),Minor,Dumper,Housekeeping,,Trip over cabling left across a walkway.
INC-0093,2025-03-31,Lanjigarh Refinery,Cast House,Crane / Lifting Failure,Minor,Forklift,Personnel under load,SOP-CRN-005,Frayed sling parted mid-lift; load dropped within barricaded zone.
INC-0051,2025-12-22,Debari Zinc,Hydrometallurgy,Vehicle / Mobile Equipment,First Aid,Crane,Blind spot,SOP-MOB-007,Pedestrian crossed a haul road outside the walkway near a reversing dumper.
INC-0114,2025-06-04,Chanderiya Zinc,Maintenance Workshop,Slip / Trip / Fall (same level),First Aid,Forklift,Oil spill,,Trip over cabling left across a walkway.
INC-0066,2025-12-07,Rampura Agucha Mine,Maintenance Workshop,Vehicle / Mobile Equipment,First Aid,Pump,Blind spot,SOP-MOB-007,Forklift reversed without a spotter in a congested store.
INC-0065,2025-06-06,Lanjigarh Refinery,Material Handling,Confined Space Exposure,Minor,Pump,Atmosphere not tested,SOP-CSE-002,Entry made on an expired permit without re-testing atmosphere.
