date,equipment_id,equipment_name,site,area,vibration_mm_s,bearing_temp_c,oil_pressure_bar,hours_since_service,defects_flagged,will_fail
2026-03-30,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.45,52.3,4.51,1168,0,0
2026-03-31,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.64,51.5,4.55,1179,0,0
2026-04-01,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.64,53.7,4.56,1192,0,0
2026-04-02,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.68,52.6,4.48,1198,0,0
2026-04-03,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.54,52.4,4.59,1211,0,0
2026-04-04,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.56,53.6,4.6,1222,0,0
2026-04-05,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.58,52.6,4.61,1233,0,0
2026-04-06,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.74,52.9,4.58,1245,0,0
2026-04-07,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.63,52.3,4.43,1255,0,0
2026-04-08,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.68,52.4,4.43,1266,0,0
2026-04-09,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.71,51.6,4.55,1278,0,0
2026-04-10,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,51.9,4.54,1291,1,0
2026-04-11,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.59,52.6,4.53,1299,0,0
2026-04-12,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.71,53.2,4.52,1311,0,0
2026-04-13,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.49,52.1,4.51,1325,0,0
2026-04-14,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.55,53.4,4.55,1338,0,0
2026-04-15,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.55,53.7,4.61,1349,0,0
2026-04-16,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.58,52.5,4.44,1357,0,0
2026-04-17,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.56,52.0,4.56,1363,0,0
2026-04-18,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,52.1,4.58,1370,0,0
2026-04-19,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.67,54.0,4.57,1377,0,0
